0,1
"The first two seasons were awesome. Very good writing. Now with the third and especially the fourth season, the writing is horrible. Everything is overly dramatic. Pretty much every cast member annoys me now. I'm guessing the show got new writers after the second season. If that's the case, then they should have end the show there. Where did all the creativity go???",9 February 2022
Never have been so bored to death of hearing stupid speeches. Every 10 minutes there's a big speech about what there going in to and how important it is. Yeah yeah we got after 50th speech we didn't need another 100. Make a sci-fi program not political bull crap.,11 March 2022
"Ten years before Captain Kirk, this happened.....

I am not too big on two word reviews but I am tempted to make such a review here - this stinks!

Nearly everything about Star Trek: Discovery turns me off!

I view the original 60s series Star Trek as one of my top ten TV shows ever made and I have also enjoyed Deep Space Nine (1993-99) as well - but this!

Discovery might look like a million bucks but a recent web series called - Star Trek Continues - did a better job of going where no man has gone before than this rubbish!",27 December 2017
"Stopped watching. Cannot tolerate actors who whisper their lines. No wonder the main character has never been nominated for a Prime Time Emmy. Just makes the series intolerable to watch.

This TV series is just not not right and does not follow any resemblance to the originals series, and certainly not a very good prequel. The script lacks any plot or theme and the acting is unbelievably poor at it's best. Absolutely terrible. Cannot believe the overall rating.",29 January 2018
"No one hates Star Trek more than Star Trek fans. For every new series, we see a new generation of 'fans' bellowing and moaning about how this series will spell disaster for the franchise.

Lucky for me, I only started watching Star Trek in the last three years, catching up on something I never really saw before, so I get to come to it without decades of seething hatred for the smallest change.

Most of the complaints seem to be because it features an Asian-American woman as the captain and an African-American woman as the first officer, calling it a cliché, liberalism, or tokenism. I can't imagine a worse reason to dislike a series - because of the nationality or gender of the lead actors.

As for how I felt the first episode went? Well, it's a promising start. First, it looks gorgeous. This new generation of Star Trek is the realisation of fifty years of improved graphics, and while the shine and shimmer of the constant lens flaring is a little on the nose, it does look good.

Acting is a little wooden, but like a lot of things, my guess is that well see improvement as they settle into their roles a little more. The first episode contained a lot of exposition, of course, but they had to set the scene with the length of episode and amount of episodes they have at their disposal.

I look forward to seeing where this all goes, and unlike other 'fans,' I'll do so with an open mind and heart.",24 September 2017
"The higher ratings are garbage from either Hollywood paid marketing firms or an intentional effort to push some stupid social messaging.

Here is the bottom line, ST is a formula, it was built on a formula, its survived on a formula and it exists because of the formula. This garbage deviates so far from the formula that its like some film students 3rd year attempt to reimagine it.

As another reviewer mentions, Star Trek was always a message of hope, it was bright, positive, and had encouraging messaging, this has a dark theme, underlying negativity, dreadful background music or effects constantly playing to bring the vibe down very low.

What worked so well with the earlier versions of ST is they allowed the audience to use their own imagination, they told a story and allowed viewers to interpret.

This tries to define each and every nuance, this tries to reinvent and lay it all out.

StarTrek did an excellent job of intermixing races genders species, and it was a show from the 1960's, so far ahead of its time but sent the proper messaging.

This version force-feeds some obnoxiously unrealistic version that appears to be written to appeal to an audience that is not the typical StarTrek fanbase, and its not winning any new fans!

At the end of the day, the people who watch StarTrek appreciate how it was created and how it flowed, what this is, is not that, and its boring enough to not draw in any new viewers.

Im calling this another fail by CBS and by Hollyweird who continue to try and push their foolishness on everyone!",8 January 2022
"Ok, I get the hate for season 1. Didn't seem like Trek to me either. That being said season 2 seems to get things back on the Trek track for me. Capt Pike alone saves it for me, wrapping part of the story line in TOS story arc helps. Give it a try and don't judge it on season 1 alone. To all those complaining we don't see enough story about the bridge crew ask yourself just how much of TOS focused on the bridge crew. They were almost window dressing confined to repeating the same lines each week as the screen hog Shatner cut a ton of their lines, hailing frequencies open, shields up, aye Captain.....etc. No story's focused on them. Sure Next Generation gave us individual focused stories but not the original series. Anyways I like the direction season 2 is taking, try it. Sorry ignore all the above, the series takes a huge dump in season 3 and 4. Worst Trek ever.",5 March 2019
"The show started out techno-clever with interesting character interactions.

Now all we have is a bunch of needy characters episode after episode. Even the computer is needy. It is exhausting.

I give it a 6 because I still have hope, but the writing is being sucked into a black hole of neediness.",6 January 2022
"Apparently TV shows are made for younger kids these days. This show is so well produced that it's a shame it's become so boring, having gone way too far with teaching social correctness to young kids and sacrificing a good scifi story for a vision of the future with fleet crew members straight from daytime soap operas, too preoccupied with their emotional fragility to be competent. Ninjas vs Diabetics? In a sword fight? On a starship? Please. Stop it. I wish instead they'd capitalize more on the bold ideas, story elements and humor past shows have had... that appeal to all ages.",3 December 2021
"I just finished watching season 4 episode 1 and I don't know what to make of it. The show's script and dialogues feels like it's for an audience of 12 years old. The special effects are nicely done but the technology is borderline ""magic"" not believable.",19 November 2021
